name,latitude,longitude,population,time_Date,gathered_Date,url
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.893588,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378939.1.16378939
Armenia,40.7696272,44.6736646,2963,Unknown,2023-04-19 01:55:36.893594,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378939.1.16378939
Storbritannia,54.7023545,-3.2765753,67886,Unknown,2023-04-19 01:55:36.893601,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378999.1.16378999
Italia,42.6384261,12.674297,60462,Unknown,2023-04-19 01:55:36.893607,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378999.1.16378999
Argentina,-34.9964963,-64.9672817,45196,Unknown,2023-04-19 01:55:36.893612,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378999.1.16378999
Senegal,14.4750607,-14.4529612,16744,Unknown,2023-04-19 01:55:36.893618,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378999.1.16378999
Sverige,59.6749712,14.5208584,10099,Unknown,2023-04-19 01:55:36.893624,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378999.1.16378999
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.893630,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378999.1.16378999
Armenia,40.7696272,44.6736646,2963,Unknown,2023-04-19 01:55:36.893636,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378999.1.16378999
Sudan,14.5844444,29.4917691,43849,19:24-04/18-2023,2023-04-19 01:55:36.893642,https://www.nrk.no/norge/en-lettere-skadd-etter-knivstikking-pa-trikk-1.16378935
Tunisia,33.8439408,9.400138,11819,19:24-04/18-2023,2023-04-19 01:55:36.893649,https://www.nrk.no/norge/en-lettere-skadd-etter-knivstikking-pa-trikk-1.16378935
Norge,61.1529386,8.7876653,5421,19:24-04/18-2023,2023-04-19 01:55:36.893655,https://www.nrk.no/norge/en-lettere-skadd-etter-knivstikking-pa-trikk-1.16378935
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.893662,https://www.nrk.no/03030
Norge,61.1529386,8.7876653,5421,21:37-04/18-2023,2023-04-19 01:55:36.893667,https://www.nrk.no/innlandet/katten-nusse-dro-med-seg-en-levende-ugle-inn-i-stua-1.16377122
Norge,61.1529386,8.7876653,5421,21:38-04/18-2023,2023-04-19 01:55:36.893674,https://www.nrk.no/vestland/kunstig-intelligens-kan-hindra-straumbrot-1.16333843
Norge,61.1529386,8.7876653,5421,19:06-04/18-2023,2023-04-19 01:55:36.893681,https://www.nrk.no/rogaland/det-er-hoy-uv-straling-i-sor-norge-_-husk-solkrem-med-hoy-faktor-1.16378558
New Zealand,-41.5000831,172.8344077,4822,19:06-04/18-2023,2023-04-19 01:55:36.893687,https://www.nrk.no/rogaland/det-er-hoy-uv-straling-i-sor-norge-_-husk-solkrem-med-hoy-faktor-1.16378558
Norge,61.1529386,8.7876653,5421,22:05-04/18-2023,2023-04-19 01:55:36.893695,https://www.nrk.no/osloogviken/mistenkelig-dodsfall-i-halden_-70-aring-funnet-dod-i-sitt-eget-hjem-1.16379055
USA,39.7837304,-100.445882,331003,17:20-04/18-2023,2023-04-19 01:55:36.893703,https://www.nrk.no/norge/ud-vil-bidra-aktivt-til-a-fa-terrorsiktet-hjem-fra-jemen_-ifolge-forsvarer-1.16378337
